sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
27461,47359,39.041,-89.7,p81,3,5,708.89320546875,15867.99214412419
27738,47737,38.956,-89.991,p81,3,5,1035.2400539062496,15868.522984295896
28555,48887,38.594,-88.617,p81,3,5,1690.1657437499996,16053.489634836207
24051,42790,40.264,-90.877,p81,3,5,1195.165884375,16116.016008766808
27462,47360,39.034,-89.559,p81,3,5,1362.7118531249996,16181.478157486585
26613,46214,39.364,-90.38,p81,3,5,1439.6362875,16493.947549264853
29320,50015,38.382,-90.323,p81,3,5,1222.931165625,16525.440519208452
20701,38619,41.282,-89.476,p81,3,5,623.00333671875,16549.790935798195
24340,43178,40.12,-89.738,p81,3,5,1231.6549921874996,16623.477216834526
29077,49640,38.449,-89.616,p81,3,5,626.93158359375,16651.822345822056
28286,48504,38.714,-89.027,p81,3,5,1282.8294,16745.257501265995
31969,53824,37.347,-89.16799999999999,p81,3,5,1097.31155625,16907.46891668172
20394,38231,41.428,-90.636,p81,3,5,676.3024125,16943.11819788163
20999,38998,41.191,-89.632,p81,3,5,1357.6698562499996,17014.88956737194
24905,43928,39.982,-91.187,p81,3,6,1160.5650890625,17059.548192226855
24341,43179,40.113,-89.595,p81,3,6,812.9938359375,17106.26177126103
23170,41656,40.522,-89.988,p81,3,6,620.59333359375,17200.348783657162
32232,54205,37.242,-89.041,p81,3,6,1140.12765,17431.026144309366
20700,38618,41.288,-89.62200000000001,p81,3,6,1387.3602796875,17437.60668841489
20691,38609,41.341,-90.937,p81,3,6,1089.5166984375,17600.869059385564
26616,46217,39.346,-89.955,p81,3,6,1672.2855,17653.700672941897
26904,46602,39.216,-89.257,p81,3,6,786.7709085937498,17706.331049135468
28822,49266,38.504,-88.76799999999999,p81,3,6,2109.3463125,17710.931928190297
29827,50781,38.149,-89.505,p81,3,6,1414.6825921875,17739.726543695295
26060,45459,39.529,-89.65299999999999,p81,3,6,1079.9145281249996,17886.16823573281
26333,45833,39.468,-90.513,p81,3,6,1719.204496875,17983.18006467698
22558,40894,40.729,-90.259,p81,3,6,587.5822265625,18120.28510725464
21926,40130,40.946,-90.822,p81,3,6,780.27686015625,18154.235543853527
30619,51922,37.85,-89.395,p81,3,6,768.0428859374998,18198.87313547478
25759,45067,39.694,-91.351,p81,3,6,443.6183953125,18225.079048203403
30622,51925,37.828,-88.98,p81,3,6,954.892040625,18247.310576462063
26906,46604,39.202,-88.975,p81,3,6,1732.4939390625,18353.13653000742
25480,44695,39.749,-90.203,p81,3,6,517.074352734375,18480.49712145885
27181,46982,39.118,-89.26700000000001,p81,3,6,1115.77449375,18507.266889735845
29825,50779,38.162,-89.78299999999999,p81,3,6,2112.883734375,18550.554994465016
20106,37859,41.476000000000006,-89.456,p81,3,6,566.36168203125,18557.6113876646
23169,41655,40.528,-90.133,p81,3,6,790.3373765624998,18738.087866977337
30357,51546,37.919,-88.831,p81,3,6,1489.6132874999996,18854.227081182067
29830,50784,38.129,-89.088,p81,3,7,1539.8589796875,18854.937095949765
20103,37856,41.496,-89.895,p81,3,7,2544.688153125,18916.550282435543
21610,39754,41.021,-90.233,p81,3,7,721.8288421875,19009.19187674431
29073,49636,38.474,-90.175,p81,3,7,1156.009471875,19106.432265789
32233,54206,37.235,-88.904,p81,3,7,861.09853359375,19382.73763000133
26610,46211,39.381,-90.805,p81,3,7,919.58926640625,19394.10953150019
30627,51930,37.79,-88.289,p81,3,7,2284.493625,19447.304916968
24908,43931,39.966,-90.758,p81,3,7,1499.209003125,19474.165900103137
27746,47745,38.902,-88.865,p81,3,7,1724.66060625,19475.71353685577
29824,50778,38.169,-89.92200000000001,p81,3,7,1824.402740625,19552.152498973395
28819,49263,38.526,-89.18700000000001,p81,3,7,760.632525,19669.52166429493
29823,50777,38.175,-90.061,p81,3,7,1534.8058453125,19677.53711835324
28279,48497,38.761,-90.008,p81,3,7,640.4306765624998,19796.681520129256
22867,41274,40.632,-90.268,p81,3,7,972.39835546875,20051.698337897255
20102,37855,41.502,-90.042,p81,3,7,2570.35021875,20115.54126297815
27460,47358,39.047,-89.84100000000001,p81,3,7,1234.8747421875,20147.70580418153
21307,39377,41.1,-89.787,p81,3,7,461.00257734375,20357.433918833893
24059,42798,40.217,-89.729,p81,3,7,322.604300390625,20489.66452832916
24906,43929,39.977,-91.044,p81,3,7,1464.5601140625,20629.12235174785
29072,49635,38.48,-90.314,p81,3,7,441.84329296875,20724.46967802185
30348,51537,37.98,-90.079,p81,3,7,613.2283453125,20772.21462241761
30893,52311,37.685,-88.162,p81,3,7,1003.9753828125,21040.28116483735
24912,43935,39.944,-90.186,p81,3,7,913.4680078125,21047.957343300182
20395,38232,41.422,-90.49,p81,3,7,465.18243046875,21080.96089338176
27742,47741,38.93,-89.428,p81,3,8,975.16577109375,21361.370252980967
20698,38616,41.301,-89.914,p81,3,8,811.9712109374998,21489.81242618674
26338,45838,39.438,-89.804,p81,3,8,1350.7327125,21598.92173198121
28552,48884,38.617,-89.037,p81,3,8,657.64184765625,21654.741042540223
24904,43927,39.987,-91.33,p81,3,8,456.19351875,21883.565989244307
30885,52303,37.745,-89.26700000000001,p81,3,8,731.7378,21981.23806805964
28007,48118,38.852,-89.859,p81,3,8,1263.5588671875,22017.121341806072
23466,42036,40.425,-89.99799999999999,p81,3,8,1034.891184375,22078.27928335697
23458,42028,40.469,-91.15,p81,3,8,1055.04126328125,22152.615020039342
29576,50405,38.219,-88.939,p81,3,8,822.2751703125,22195.967292039262
20693,38611,41.331,-90.644,p81,3,8,805.70643046875,22205.49222201339
29327,50022,38.338,-89.346,p81,3,8,1068.9743390625,22243.480260879067
26907,46605,39.194,-88.834,p81,3,8,1738.397446875,22252.486999739784
20105,37858,41.483,-89.603,p81,3,8,737.4208992187498,22378.717049494226
27178,46979,39.139,-89.69,p81,3,8,1020.43527890625,22444.586944218117
20996,38995,41.21,-90.069,p81,3,8,2497.423134375,22578.59485950545
20997,38996,41.20399999999999,-89.92399999999999,p81,3,8,368.6617230468749,22742.053660926045
20107,37860,41.47,-89.31,p81,3,8,597.3738609375,22881.139140904044
26334,45834,39.462,-90.371,p81,3,8,1190.139328125,23125.05504711437
28545,48877,38.663,-90.01700000000001,p81,3,8,254.30677734375,23128.4508041521
26332,45832,39.473,-90.655,p81,3,8,681.4270546875,23343.116277601872
23751,42407,40.377,-91.302,p81,3,8,1177.6168546875,23379.703556331944
30086,51159,38.065,-89.792,p81,3,8,2115.45675,23458.027455387048
23163,41649,40.562,-90.998,p81,3,8,981.5031984375,23887.7104344524
27183,46984,39.104,-88.985,p81,3,8,1897.5048609375,24747.215208487432
22245,40509,40.854,-90.975,p81,3,8,1444.9277390625,25005.32920417565
22869,41276,40.62,-89.979,p81,3,9,1006.4038640625,25040.868295498447
23755,42411,40.356,-90.726,p81,3,9,1430.7781781249996,25042.787048625883
23464,42034,40.437,-90.286,p81,3,9,1038.9041015625,25046.76504406136
32509,54583,37.158,-89.325,p81,3,9,957.1340953125,25244.943909994032
30097,51170,37.986,-88.26700000000001,p81,3,9,1050.74130234375,25628.587429473224
20993,38992,41.228,-90.507,p81,3,9,1071.409275,25665.523477639657
25473,44688,39.787,-91.201,p81,3,9,478.7250609375,25700.625697594467
20101,37854,41.508,-90.188,p81,3,9,1178.738578125,25788.9412587114
26895,46593,39.273,-90.529,p81,3,9,1343.7101390624996,25848.71274588021
24909,43932,39.961,-90.615,p81,3,9,1255.856653125,25853.857576787723
29821,50775,38.187,-90.34,p81,3,9,684.3328031249998,25922.392902236734
