"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"p6","p8","AC","summ","2034",152.734625790361
"p6","p8","AC","summ","2036",117.912267497967
"p6","p8","AC","fall","2024",576.845
"p6","p8","AC","fall","2026",576.845
"p6","p8","AC","fall","2028",576.845
"p6","p8","AC","fall","2030",495.796011977171
"p6","p8","AC","fall","2032",501.321662703086
"p6","p8","AC","fall","2034",156.967156238263
"p6","p8","AC","fall","2036",549.835048614723
"p6","p8","AC","fall","2038",372.567369608088
"p6","p8","AC","wint","2022",19.8440663852778
"p6","p8","AC","wint","2024",576.845
"p6","p8","AC","wint","2026",576.845
"p6","p8","AC","wint","2028",576.845
"p6","p8","AC","wint","2030",576.845
"p6","p8","AC","spri","2024",576.845
"p6","p8","AC","spri","2026",576.845
"p6","p8","AC","spri","2028",576.845
"p6","p8","AC","spri","2030",576.845
"p6","p8","AC","spri","2032",576.845
"p6","p8","AC","spri","2034",576.845
"p6","p8","AC","spri","2036",139.441205458039
"p6","p8","AC","spri","2038",115.754744091476
"p6","p8","AC","spri","2040",13.1563037251983
"p6","p8","AC","spri","2048",622.622860383438
"p6","p9","AC","summ","2022",3409.49
"p6","p9","AC","summ","2024",3409.49
"p6","p9","AC","summ","2026",3409.49
"p6","p9","AC","summ","2028",3417.91272223815
"p6","p9","AC","summ","2030",2541.73402883846
"p6","p9","AC","summ","2032",1200.70232597002
"p6","p9","AC","summ","2044",46.060530296766
"p6","p9","AC","summ","2046",1602.47594600616
"p6","p9","AC","summ","2048",4269.65958581447
"p6","p9","AC","summ","2050",4629.07419112512
"p6","p9","AC","fall","2022",2579.20769324291
"p6","p9","AC","fall","2024",3409.49
"p6","p9","AC","fall","2026",3409.49
"p6","p9","AC","fall","2028",3417.91272223815
"p6","p9","AC","fall","2030",3655.32280708803
"p6","p9","AC","fall","2032",2710.01852592681
"p6","p9","AC","fall","2034",2171.55760365578
"p6","p9","AC","fall","2036",725.812795342919
"p6","p9","AC","fall","2042",1471.20672178594
"p6","p9","AC","fall","2044",1752.70377566665
"p6","p9","AC","fall","2046",3343.31186578747
"p6","p9","AC","fall","2048",4748.73806941076
"p6","p9","AC","fall","2050",4748.73806941076
"p6","p9","AC","wint","2048",121.739607420028
"p6","p9","AC","wint","2050",2452.3200995941
"p7","p5","AC","summ","2022",771.314
"p7","p5","AC","summ","2036",771.314
"p7","p5","AC","summ","2038",771.314
"p7","p5","AC","summ","2040",771.314
"p7","p5","AC","summ","2042",771.314
"p7","p5","AC","summ","2044",771.314
"p7","p5","AC","summ","2046",771.314
"p7","p5","AC","summ","2048",771.314
"p7","p5","AC","summ","2050",771.314
"p7","p5","AC","fall","2028",771.314
"p7","p5","AC","fall","2036",600.112278678689
"p7","p5","AC","fall","2038",771.314
"p7","p5","AC","fall","2040",771.314
"p7","p5","AC","fall","2042",771.314
"p7","p5","AC","fall","2044",771.314
"p7","p5","AC","fall","2046",771.314
"p7","p5","AC","fall","2048",771.314
"p7","p5","AC","fall","2050",771.314
"p7","p5","AC","wint","2024",771.314
"p7","p5","AC","wint","2034",176.981516792638
"p7","p5","AC","wint","2036",349.421538642092
"p7","p5","AC","wint","2038",488.482206886751
"p7","p5","AC","wint","2040",771.314
"p7","p5","AC","wint","2042",771.314
"p7","p5","AC","wint","2044",771.314
"p7","p5","AC","wint","2046",771.314
"p7","p5","AC","wint","2048",771.314
"p7","p5","AC","wint","2050",560.376040458742
"p7","p5","AC","spri","2022",771.314
"p7","p5","AC","spri","2030",771.314
"p7","p5","AC","spri","2032",771.314
"p7","p5","AC","spri","2040",771.314
"p7","p5","AC","spri","2042",771.314
"p7","p5","AC","spri","2044",771.314
"p7","p5","AC","spri","2046",771.314
"p7","p5","AC","spri","2048",771.314
"p7","p5","AC","spri","2050",771.314
"p7","p6","AC","summ","2024",127.742649446328
"p7","p6","AC","summ","2036",210.502
"p7","p6","AC","summ","2038",210.502
"p7","p6","AC","summ","2040",210.502
"p7","p6","AC","summ","2042",210.502
"p7","p6","AC","summ","2044",210.502
"p7","p6","AC","summ","2046",210.502
"p7","p6","AC","summ","2048",210.502
"p7","p6","AC","summ","2050",210.502
"p7","p6","AC","fall","2026",210.502
"p7","p6","AC","fall","2028",210.502
"p7","p6","AC","fall","2030",210.502
"p7","p6","AC","fall","2032",107.135583298169
"p7","p6","AC","fall","2034",210.502
"p7","p6","AC","fall","2036",210.502
"p7","p6","AC","fall","2038",210.502
"p7","p6","AC","fall","2040",210.502
"p7","p6","AC","fall","2042",210.502
"p7","p6","AC","fall","2044",210.502
"p7","p6","AC","fall","2046",210.502
"p7","p6","AC","fall","2048",210.502
"p7","p6","AC","fall","2050",210.502
"p7","p6","AC","wint","2040",210.502
"p7","p6","AC","wint","2042",210.502
"p7","p6","AC","wint","2044",210.502
"p7","p6","AC","wint","2046",210.502
"p7","p6","AC","wint","2048",210.502
"p7","p6","AC","spri","2040",210.502
"p7","p6","AC","spri","2042",210.502
"p7","p6","AC","spri","2044",210.502
"p7","p6","AC","spri","2046",210.502
"p7","p6","AC","spri","2048",210.502
"p7","p6","AC","spri","2050",210.502
"p7","p15","AC","summ","2022",890.4055137
"p7","p15","AC","summ","2034",140.373878863114
"p7","p15","AC","summ","2036",554.405095180392
"p7","p15","AC","summ","2038",1245.20602219511
"p7","p15","AC","summ","2040",1616.25378410125
"p7","p15","AC","summ","2042",2302.26947756393
"p7","p15","AC","summ","2044",2665.72927331992
"p7","p15","AC","summ","2046",2886.62866413061
"p7","p15","AC","summ","2048",3114.19078738043
"p7","p15","AC","summ","2050",3878.93768348412
"p7","p15","AC","fall","2022",696.641711
"p7","p15","AC","fall","2024",32.494346922699
"p7","p15","AC","fall","2028",1079.87834381015
"p7","p15","AC","fall","2036",259.970999465704
"p7","p15","AC","fall","2038",599.692890056698
"p7","p15","AC","fall","2040",789.628702683503
"p7","p15","AC","fall","2042",1306.39454100297
"p7","p15","AC","fall","2044",1423.45449860229
"p7","p15","AC","fall","2046",1568.33717958313
"p7","p15","AC","fall","2048",1807.46940361859
"p7","p15","AC","fall","2050",1945.53388140701
"p7","p15","AC","wint","2022",1456.8192722
"p7","p15","AC","wint","2024",285.870817265167
"p7","p15","AC","wint","2026",273.833592000804
"p7","p15","AC","wint","2030",414.440753623
"p7","p15","AC","wint","2032",38.0798285662627
"p7","p15","AC","wint","2036",559.001460741638
"p7","p15","AC","wint","2038",576.237010884808
"p7","p15","AC","wint","2040",287.287567023715
"p7","p15","AC","wint","2042",589.062751537795
"p7","p15","AC","wint","2044",934.285212788723
"p7","p15","AC","wint","2046",786.141994619404
"p7","p15","AC","wint","2048",744.091855249771
"p7","p15","AC","wint","2050",1327.34514076327
"p7","p15","AC","spri","2022",1401.4844302
"p7","p15","AC","spri","2024",307.608173912741
